Script started on 2026-09-19 19:44:03+08:00 [TERM="dumb" TTY="/dev/pts/7" COLUMNS="80" LINES="24"]
[INFO] [launch]: All log files can be found below /home/aa/.ros/log/2026-09-19-19-44-04-014969-rog-38409
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [38435]
[mavros_node-1] [INFO] [1789818244.304242501] [mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1789818244.304330098] [mavros_node]: FCU URL: udp://:14540@127.0.0.1:14580
[mavros_node-1] [INFO] [1789818244.304335671] [mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1789818244.304338141] [mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1789818244.304340341] [mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1789818244.314616533] [mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1789818244.314666264] [mavros_router]: Built-in MAVLink package version: 2026.9.9
[mavros_node-1] [INFO] [1789818244.314674470] [mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh paparazzi standard stemstudios storm32 uAvionix
[mavros_node-1] [INFO] [1789818244.314677624] [mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1789818244.314771595] [mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1789818244.356326263] [mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@127.0.0.1:14580
[mavros_node-1] [INFO] [1789818244.356565899] [mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1789818244.359467379] [mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1789818244.359583788] [mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1789818244.359684224] [mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1789818244.360626426] [mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1789818244.364415182] [mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1789818244.366099798] [mavros]: UAS Executor started, threads: 4
[mavros_node-1] [WARN] [1789818244.366233334] [mavros]: plugin_denylist pattern 'image_pub' does not match any declared plugin
[mavros_node-1] [INFO] [1789818244.416166141] [mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1789818244.416448688] [mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1789818244.485763523] [mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1789818244.486024879] [mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1789818244.489404951] [mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1789818244.489536396] [mavros]: Plugin altitude initialized
